dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
62,10,3,probabilistic_ftr,10000,16,0.0016,1,72.49299937,0
64,3,1,pastcpa,10000,0,0,1,101.7965877,0
64,3,1,ftr,10000,613,0.0613,1,51.87076414,0
64,3,1,probabilistic_ftr,10000,0,0,1,64.93300437,0
64,3,3,pastcpa,10000,11,0.0011,1,96.98868728,0
64,3,3,ftr,10000,2390,0.239,1,51.41062328,0
64,3,3,probabilistic_ftr,10000,31,0.0031,1,69.7454476,0
64,10,1,pastcpa,10000,0,0,1,102.6522021,0
64,10,1,ftr,10000,431,0.0431,1,54.40222713,0
64,10,1,probabilistic_ftr,10000,0,0,1,67.75285833,0
64,10,3,pastcpa,10000,4,0.0004,1,97.41641566,0
64,10,3,ftr,10000,1876,0.1876,1,53.18097554,0
64,10,3,probabilistic_ftr,10000,28,0.0028,1,72.39949875,0
66,3,1,pastcpa,10000,0,0,1,101.4727129,0
66,3,1,ftr,10000,665,0.0665,1,51.85255521,0
66,3,1,probabilistic_ftr,10000,0,0,1,64.71713456,0
66,3,3,pastcpa,10000,12,0.0012,1,96.93629071,0
66,3,3,ftr,10000,2481,0.2481,1,51.38375819,0
66,3,3,probabilistic_ftr,10000,35,0.0035,1,69.88399348,0
66,10,1,pastcpa,10000,0,0,1,102.8052385,0
66,10,1,ftr,10000,413,0.0413,1,54.39951327,0
66,10,1,probabilistic_ftr,10000,0,0,1,68.03215421,0
66,10,3,pastcpa,10000,12,0.0012,1,98.1162244,0
66,10,3,ftr,10000,1882,0.1882,1,53.21445229,0
66,10,3,probabilistic_ftr,10000,34,0.0034,1,72.9613699,0
68,3,1,pastcpa,10000,0,0,1,101.557321,0
68,3,1,ftr,10000,653,0.0653,1,51.86345954,0
68,3,1,probabilistic_ftr,10000,3,0.0003,1,64.94200964,0
68,3,3,pastcpa,10000,8,0.0008,1,97.5573221,0
68,3,3,ftr,10000,2415,0.2415,1,51.43099241,0
68,3,3,probabilistic_ftr,10000,24,0.0024,1,69.89124022,0
68,10,1,pastcpa,10000,0,0,1,103.3064518,0
68,10,1,ftr,10000,400,0.04,1,54.43545572,0
68,10,1,probabilistic_ftr,10000,0,0,1,67.93091319,0
68,10,3,pastcpa,10000,7,0.0007,1,98.9243076,0
68,10,3,ftr,10000,1885,0.1885,1,53.16814465,0
