nohup: ignoring input
[120/1080] dpsi=20.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.003 (30/10000)
[121/1080] dpsi=22.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0002 (2/10000)
[122/1080] dpsi=22.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1397 (1397/10000)
[123/1080] dpsi=22.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0002 (2/10000)
[124/1080] dpsi=22.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0125 (125/10000)
[125/1080] dpsi=22.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3648 (3648/10000)
[126/1080] dpsi=22.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0033 (33/10000)
[127/1080] dpsi=22.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[128/1080] dpsi=22.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0781 (781/10000)
[129/1080] dpsi=22.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[130/1080] dpsi=22.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0082 (82/10000)
[131/1080] dpsi=22.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.238 (2380/10000)
[132/1080] dpsi=22.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0026 (26/10000)
[133/1080] dpsi=24.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0003 (3/10000)
[134/1080] dpsi=24.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1313 (1313/10000)
[135/1080] dpsi=24.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[136/1080] dpsi=24.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.009 (90/10000)
[137/1080] dpsi=24.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3535 (3535/10000)
[138/1080] dpsi=24.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0027 (27/10000)
[139/1080] dpsi=24.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0001 (1/10000)
[140/1080] dpsi=24.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0778 (778/10000)
[141/1080] dpsi=24.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[142/1080] dpsi=24.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0079 (79/10000)
[143/1080] dpsi=24.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.247 (2470/10000)
[144/1080] dpsi=24.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0025 (25/10000)
[145/1080] dpsi=26.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0002 (2/10000)
[146/1080] dpsi=26.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1131 (1131/10000)
[147/1080] dpsi=26.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[148/1080] dpsi=26.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0081 (81/10000)
[149/1080] dpsi=26.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.346 (3460/10000)
[150/1080] dpsi=26.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0032 (32/10000)
[151/1080] dpsi=26.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[152/1080] dpsi=26.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0786 (786/10000)
[153/1080] dpsi=26.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[154/1080] dpsi=26.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0056 (56/10000)
[155/1080] dpsi=26.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2447 (2447/10000)
[156/1080] dpsi=26.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0026 (26/10000)
[157/1080] dpsi=28.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[158/1080] dpsi=28.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.1134 (1134/10000)
[159/1080] dpsi=28.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[160/1080] dpsi=28.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0048 (48/10000)
[161/1080] dpsi=28.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3288 (3288/10000)
[162/1080] dpsi=28.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0027 (27/10000)
[163/1080] dpsi=28.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[164/1080] dpsi=28.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0749 (749/10000)
[165/1080] dpsi=28.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[166/1080] dpsi=28.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0052 (52/10000)
[167/1080] dpsi=28.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2453 (2453/10000)
[168/1080] dpsi=28.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0021 (21/10000)
[169/1080] dpsi=30.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0002 (2/10000)
